เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 5,"ในพระราชบัญญัตินี้
“วิธีปฏิบัติราชการทางปกครอง” หมายถึง การเตรียมการและการดำเนินการของเจ้าหน้าที่เพื่อจัดให้มีคำสั่งทางปกครองหรือกฎ รวมถึงการดำเนินการใด ๆ ตามพระราชบัญญัตินี้
“การพิจารณาทางปกครอง” หมายถึง การเตรียมการและการดำเนินการของเจ้าหน้าที่เพื่อจัดให้มีคำสั่งทางปกครอง
“คำสั่งทางปกครอง” หมายถึง
(1) การใช้อำนาจตามกฎหมายของเจ้าหน้าที่ที่ก่อ เปลี่ยนแปลง โอน สงวน ระงับ หรือกระทบต่อสิทธิหรือหน้าที่ของบุคคล ไม่ว่าจะถาวรหรือชั่วคราว เช่น การสั่งการ อนุญาต อนุมัติ วินิจฉัยอุทธรณ์ รับรอง และรับจดทะเบียน แต่ไม่รวมถึงการออกกฎ
(2) การอื่นที่กำหนดในกฎกระทรวง
“กฎ” หมายถึง พระราชกฤษฎีกา กฎกระทรวง ประกาศกระทรวง ข้อบัญญัติท้องถิ่น ระเบียบ ข้อบังคับ หรือบทบัญญัติอื่นที่มีผลบังคับทั่วไป โดยไม่เจาะจงกรณีหรือบุคคลใด
“คณะกรรมการวินิจฉัยข้อพิพาท” หมายถึง คณะกรรมการที่จัดตั้งตามกฎหมายเพื่อวินิจฉัยชี้ขาดสิทธิและหน้าที่ตามกฎหมาย
“เจ้าหน้าที่” หมายถึง บุคคล คณะบุคคล หรือนิติบุคคลที่ใช้อำนาจหรือได้รับมอบอำนาจทางปกครองของรัฐในการดำเนินการตามกฎหมาย ไม่ว่าจะจัดตั้งในระบบราชการ รัฐวิสาหกิจ หรือกิจการอื่นของรัฐหรือไม่ก็ตาม
“คู่กรณี” หมายถึง ผู้ยื่นคำขอ ผู้คัดค้าน ผู้ที่อยู่หรือจะอยู่ในบังคับของคำสั่งทางปกครอง และผู้ที่สิทธิจะถูกกระทบจากผลของคำสั่งทางปกครอง"
มาตรา 13,"เจ้าหน้าที่ดังต่อไปนี้จะทำการพิจารณาทางปกครองไม่ได้
(1) เป็นคู่กรณีเอง
(2) เป็นคู่หมั้นหรือคู่สมรสของคู่กรณี
(3) เป็นญาติของคู่กรณี ได้แก่ บุพการีหรือผู้สืบสันดานไม่ว่าชั้นใด ๆ พี่น้องหรือลูกพี่ลูกน้องนับได้ภายใน 3 ชั้น หรือญาติเกี่ยวพันทางแต่งงานนับได้ภายใน 2 ชั้น
(4) เป็นหรือเคยเป็นผู้แทนโดยชอบธรรมหรือผู้พิทักษ์หรือผู้แทนหรือตัวแทนของคู่กรณี
(5) เป็นเจ้าหนี้หรือลูกหนี้ หรือนายจ้างของคู่กรณี
(6) กรณีอื่นตามที่กำหนดในกฎกระทรวง"
มาตรา 16,"ในกรณีมีเหตุอื่นนอกจากมาตรา 13 ที่อาจทำให้การพิจารณาทางปกครองไม่เป็นกลาง เจ้าหน้าที่หรือกรรมการนั้นจะทำการพิจารณาไม่ได้
ในกรณีดังกล่าว ให้ดำเนินการดังนี้
(1) หากผู้นั้นเห็นว่าตนเข้าข่าย ต้องหยุดการพิจารณาและแจ้งผู้บังคับบัญชาหรือประธานกรรมการทราบ
(2) หากคู่กรณีคัดค้าน แต่ผู้นั้นเห็นว่าไม่มีเหตุ ก็อาจดำเนินการต่อได้ แต่ต้องแจ้งผู้บังคับบัญชาหรือประธานกรรมการทราบ
(3) ให้ผู้บังคับบัญชา หรือคณะกรรมการที่เกี่ยวข้อง มีคำสั่งหรือมติว่าผู้นั้นมีอำนาจพิจารณาหรือไม่โดยไม่ชักช้า
ให้นำมาตรา 14 วรรคสอง และมาตรา 15 วรรคสอง สาม และสี่ มาใช้บังคับโดยอนุโลม"
มาตรา 30,"หากคำสั่งทางปกครองอาจกระทบสิทธิของคู่กรณี เจ้าหน้าที่ต้องให้คู่กรณีทราบข้อเท็จจริงเพียงพอ และมีโอกาสโต้แย้งหรือแสดงพยานหลักฐานของตน
ข้อยกเว้นไม่ต้องให้โอกาสดังกล่าว เว้นแต่เจ้าหน้าที่เห็นสมควร ได้แก่
(1) มีเหตุรีบด่วน หากชักช้าจะเสียหายร้ายแรงต่อบุคคลหรือประโยชน์สาธารณะ
(2) จะทำให้เกินเวลาที่กฎหมายหรือกฎกำหนด
(3) เป็นข้อเท็จจริงที่คู่กรณีให้ไว้เอง
(4) เห็นได้ชัดว่าไม่สามารถให้โอกาสได้
(5) เป็นมาตรการบังคับทางปกครอง
(6) กรณีอื่นตามกฎกระทรวง
ทั้งนี้ ห้ามให้โอกาสตามวรรคหนึ่ง หากจะก่อให้เกิดความเสียหายร้ายแรงต่อประโยชน์สาธารณะ"
มาตรา 37,"คำสั่งทางปกครองและการยืนยันคำสั่งทางปกครองที่ทำเป็นหนังสือ ต้องมีเหตุผลประกอบ โดยอย่างน้อยต้องมี
(1) ข้อเท็จจริงสำคัญ
(2) ข้อกฎหมายที่อ้าง
(3) ข้อพิจารณาและเหตุผลในการใช้ดุลพินิจ
นายกรัฐมนตรีหรือผู้ที่ได้รับมอบหมายอาจประกาศในราชกิจจานุเบกษากำหนดให้คำสั่งทางปกครองบางกรณีต้องระบุเหตุผลไว้ในคำสั่งหรือในเอกสารแนบท้ายก็ได้
บทบัญญัติข้างต้นไม่ใช้กับกรณีดังนี้
(1) คำสั่งเป็นไปตามคำขอและไม่กระทบสิทธิของบุคคลอื่น
(2) เหตุผลเป็นที่รู้กันทั่วไป
(3) ต้องเก็บเป็นความลับตามมาตรา 32
(4) คำสั่งด้วยวาจาหรือกรณีเร่งด่วน แต่ถ้าผู้ถูกบังคับร้องขอ ต้องให้เหตุผลเป็นลายลักษณ์อักษรในเวลาอันควร"
มาตรา 40,"คำสั่งทางปกครองที่อาจอุทธรณ์หรือโต้แย้งได้ ต้องระบุกรณีที่อุทธรณ์หรือโต้แย้ง วิธีการยื่น และระยะเวลาที่กำหนดไว้ด้วย
หากฝ่าฝืนไม่ระบุ ระยะเวลาอุทธรณ์หรือโต้แย้งให้นับใหม่ตั้งแต่วันที่ได้รับแจ้งหลักเกณฑ์ดังกล่าว แต่ถ้าไม่มีการแจ้งใหม่ และระยะเวลากำหนดสั้นกว่าหนึ่งปี ให้ขยายเป็นหนึ่งปีนับแต่วันที่ได้รับคำสั่งทางปกครอง"
มาตรา 41,"คำสั่งทางปกครองที่ออกโดยฝ่าฝืนหรือไม่ปฏิบัติตามหลักเกณฑ์ต่อไปนี้ ไม่ทำให้คำสั่งนั้นไม่สมบูรณ์
(1) ออกคำสั่งโดยยังไม่มีผู้ยื่นคำขอในกรณีที่ต้องมีผู้ยื่นคำขอก่อน แต่ต่อมามีการยื่นคำขอแล้ว
(2) คำสั่งที่ต้องมีเหตุผลตามมาตรา 37 วรรคหนึ่ง แต่ได้จัดให้มีเหตุผลในภายหลัง
(3) การรับฟังคู่กรณีที่ไม่สมบูรณ์ แต่ต่อมาได้ทำให้สมบูรณ์
(4) คำสั่งที่ต้องได้รับความเห็นชอบจากเจ้าหน้าที่อื่น แต่ได้รับความเห็นชอบในภายหลัง
เมื่อดำเนินการแก้ไขตาม (1) (2) (3) หรือ (4) แล้ว หากเจ้าหน้าที่ผู้ออกคำสั่งประสงค์ให้ผลเป็นไปตามคำสั่งเดิม ต้องบันทึกข้อเท็จจริงและความประสงค์แนบไว้กับคำสั่งเดิม และแจ้งให้คู่กรณีทราบด้วย
กรณีตาม (2) (3) และ (4) ต้องทำก่อนสิ้นสุดการพิจารณาอุทธรณ์ตามส่วนที่ 5 ของหมวดนี้ หรือตามกฎหมายเฉพาะ หรือหากไม่ต้องอุทธรณ์ ต้องทำก่อนนำคำสั่งไปสู่การพิจารณาของผู้มีอำนาจตรวจสอบความถูกต้อง"
มาตรา 44,ภายใต้บังคับมาตรา 48 หากคำสั่งทางปกครองไม่ได้ออกโดยรัฐมนตรีและไม่มีกฎหมายกำหนดขั้นตอนอุทธรณ์ภายในฝ่ายปกครอง คู่กรณีมีสิทธิอุทธรณ์โดยยื่นต่อเจ้าหน้าที่ผู้ออกคำสั่งภายใน 15 วันนับแต่วันที่ได้รับแจ้งคำสั่งนั้น คำอุทธรณ์ต้องทำเป็นหนังสือ ระบุข้อโต้แย้งและข้อเท็จจริงหรือข้อกฎหมายที่อ้างอิง การอุทธรณ์ไม่ทำให้การบังคับคำสั่งหยุดลง เว้นแต่จะมีคำสั่งทุเลาตามมาตรา 63/2 วรรคหนึ่ง
มาตรา 45,เจ้าหน้าที่ตามมาตรา 44 วรรคหนึ่ง ต้องพิจารณาคำอุทธรณ์และแจ้งผลโดยเร็ว แต่ไม่เกิน 30 วัน หากเห็นด้วยกับคำอุทธรณ์ทั้งหมดหรือบางส่วน ต้องแก้ไขคำสั่งตามนั้นภายในกำหนดเวลา หากไม่เห็นด้วยต้องรายงานพร้อมเหตุผลต่อผู้มีอำนาจพิจารณาคำอุทธรณ์ภายในกำหนดเวลา และผู้มีอำนาจต้องพิจารณาให้เสร็จภายใน 30 วันนับแต่
มาตรา 54,"เมื่อคู่กรณีมีคำขอ เจ้าหน้าที่อาจเพิกถอนหรือแก้ไขคำสั่งทางปกครองที่พ้นกำหนดอุทธรณ์ได้ หากมีเหตุ ดังนี้
(1) มีพยานหลักฐานใหม่ที่อาจเปลี่ยนแปลงข้อเท็จจริงที่เคยฟังเป็นยุติในสาระสำคัญ"
