เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 59 ความรับผิด,"บุคคลจะต้องรับผิดในทางอาญาก็ต่อเมื่อทำโดยเจตนา เว้นแต่ได้กระทำโดยประมาท ในกรณีที่กฎหมายบัญญัติให้ต้องรับผิดเมื่อทำโดยประมาท หรือเว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยแจ้งชัดให้ต้องรับผิดแม้ได้กระทำโดยไม่มีเจตนา
ว.2.กระทำโดยเจตนา ได้แก่ทำโดยรู้สำนึกในการที่กระทำและในขณะเดียวกันประสงค์ต่อผล หรือย่อมเล็งเห็นผลของการกระทำนั้น
ว.3.ถ้าผู้กระทำมิได้รู้ข้อเท็จจริงอันเป็นองค์ประกอบของความผิดจะถือว่าผู้กระทำประสงค์ต่อผล หรือย่อมเล็งเห็นผลของการกระทำมิได้
ว.4.กระทำโดยประมาท กระทำโดยปราศจากความระมัดระวังซึ่งบุคคลในภาวะเช่นนั้นจักต้องมีตามวิสัยและพฤติการณ์ ผู้กระทำอาจใช้ความระมัดระวังเช่นว่านั้นได้ แต่หาได้ใช้ให้เพียงพอไม่
ว.5.การกระทำ หมายความรวมถึงการให้เกิดผลอันหนึ่งอันใดขึ้นโดยงดเว้นการที่จักต้องกระทำเพื่อป้องกันผลนั้นด้วย"
มาตรา 60 ทำโดยพลาด,ผู้ใดเจตนาที่จะทำต่อบุคคลหนึ่ง แต่ผลของการกระทำเกิดแก่อีกบุคคลหนึ่งโดยพลาดไป ให้ถือว่าผู้นั้นกระทำโดยเจตนาแก่บุคคลซึ่งได้รับผลร้ายจากการกระทำนั้น แต่ในกรณีที่กฎหมายบัญญัติให้ลงโทษหนักขึ้น เพราะฐานะของบุคคลหรือเพราะความสัมพันธ์ระหว่างผู้กระทำกับบุคคลที่ได้รับผลร้าย มิให้นำกฎหมายนั้นมาใช้บังคับเพื่อลงโทษผู้กระทำให้หนักขึ้น
มาตรา 61 สำคัญผิดตัวบุคคล,ผู้ใดเจตนาจะกระทำต่อบุคคลหนึ่ง แต่ได้กระทำต่ออีกบุคคลหนึ่งโดยสำคัญผิด ผู้นั้นจะยกเอาความสำคัญผิดเป็นข้อแก้ตัวว่ามิได้กระทำโดยเจตนาหาได้ไม่
มาตรา 62,"ข้อเท็จจริงใด ถ้ามีอยู่จริงจะทำให้การกระทำไม่เป็นความผิด หรือทำให้ผู้กระทำไม่ต้องรับโทษ หรือได้รับโทษน้อยลง แม้ข้อเท็จจริงนั้นจะไม่มีอยู่จริง แต่ผู้กระทำสำคัญผิดว่ามีอยู่จริง ผู้กระทำย่อมไม่มีความผิด หรือได้รับยกเว้นโทษ หรือได้รับโทษน้อยลง แล้วแต่กรณี
ว.2.ถ้าความไม่รู้ข้อเท็จจริงตาม ว.3.แห่งม. 59 หรือความสำคัญผิดว่ามีอยู่จริงตามความในวรรคแรก ได้เกิดขึ้นด้วยความประมาทของผู้กระทำความผิด ให้ผู้กระทำรับผิดฐานกระทำโดยประมาท ในกรณีที่กฎหมายบัญญัติไว้โดยเฉพาะว่า การกระทำนั้นผู้กระทำจะต้องรับโทษแม้กระทำโดยประมาท
ว.3.บุคคลจะต้องรับโทษหนักขึ้นโดยอาศัยข้อเท็จจริงใด บุคคลนั้นจะต้องได้รู้ข้อเท็จจริงนั้น"
มาตรา 63 ผลธรรมดา,ถ้าผลของการกระทำใดทำให้ผู้กระทำต้องรับโทษหนักขึ้น ผลของการกระทำนั้นต้องเป็นผลที่ตามธรรมดาย่อมเกิดขึ้นได้
มาตรา 67 ทำผิดโดยจำเป็น,"ผู้ใดกระทำความผิดด้วยความจำเป็น
(1) เพราะอยู่ในที่บังคับ หรือภายใต้อำนาจซึ่งไม่สามารถหลีกเลี่ยงหรือขัดขืนได้ หรือ
(2) เพราะเพื่อให้ตนเองหรือผู้อื่น พ้นจากภยันตราย ที่ใกล้จะถึงและไม่สามารถหลีกเลี่ยงให้พ้นโดยวิธีอื่นใดได้ เมื่อภยันตรายนั้นตนมิได้ก่อให้เกิดขึ้นเพราะความผิดของตน
ถ้าไม่เกินสมควรแก่เหตุ ผู้นั้นไม่ต้องรับโทษ"
มาตรา 68 ป้องกันสิทธิ,ผู้ใดจำต้องกระทำเพื่อป้องกันสิทธิของตนหรือของผู้อื่น ให้พ้นภยันตราย ซึ่งเกิดจากการประทุษร้ายอันละเมิดต่อกฎหมาย และเป็นภยันตรายที่ใกล้จะถึง ถ้าได้กระทำพอสมควรแก่เหตุ การกระทำนั้นเป็นการป้องกันโดยชอบด้วยกฎหมาย ผู้นั้นไม่มีความผิด
มาตรา 69 เกินกว่าเหตุ,การในม. 67 68 ถ้าได้ทำเกินสมควรแก่เหตุ หรือเกินความจำเป็น หรือเกินกว่าการป้องกัน ศาลจะลงโทษน้อยกว่าที่กฎหมายกำหนดก็ได้ แต่ถ้าการกระทำนั้นเกิดขึ้นจากความตื่นเต้น ความตกใจ หรือความกลัว ศาลจะไม่ลงโทษผู้กระทำก็ได้
มาตรา 72 บันดาลโทสะ,ผู้ใดบันดาลโทสะโดยถูกข่มเหงอย่างร้ายแรง ด้วยเหตุอันไม่เป็นธรรม จึงทำต่อผู้ข่มเหง ในขณะนั้น ศาลจะลงโทษผู้นั้นน้อยกว่าที่กฎหมายกำหนดไว้สำหรับความผิดนั้นเพียงใดก็ได้
มาตรา 80 พยายามทำผิด,"ผู้ใดลงมือทำความผิดแต่ทำไปไม่ตลอด หรือทำไปตลอดแล้ว แต่การกระทำนั้นไม่บรรลุผล ผู้นั้นพยายามกระทำความผิด
ว.2.ผู้ใดพยายามทำผิด ผู้นั้นต้องระวางโทษสองในสามของโทษที่กฎหมายกำหนดไว้สำหรับความผิดนั้น"
