เลขมาตราและกฎหมาย,เนื้อหา / สาระสำคัญ
มาตรา 3 พ.ร.บ. ลิขสิทธิ์,
มาตรา 4 บทนิยาม ลิขสิทธิ์ พ.ร.บ. ลิขสิทธิ์,"“ผู้สร้างสรรค์” หมายถึง ผู้ทำหรือก่อให้เกิดงานสร้างสรรค์ที่มีลิขสิทธิ์ตามพระราชบัญญัตินี้
“ลิขสิทธิ์” หมายถึง สิทธิแต่ผู้เดียวที่จะกระทำการใด ๆ เกี่ยวกับงานที่ผู้สร้างสรรค์ทำขึ้น
“วรรณกรรม” หมายถึง งานนิพนธ์ทุกชนิด เช่น หนังสือ จุลสาร สิ่งเขียน สิ่งพิมพ์ ปาฐกถา เทศนา คำปราศรัย สุนทรพจน์ รวมถึงโปรแกรมคอมพิวเตอร์
“โปรแกรมคอมพิวเตอร์” หมายถึง คำสั่งหรือชุดคำสั่งที่ใช้กับคอมพิวเตอร์เพื่อให้ทำงานหรือให้ได้ผลอย่างใดอย่างหนึ่ง ไม่ว่าภาษาโปรแกรมใด
“นาฏกรรม” หมายถึง งานรำ เต้น ท่าทาง หรือการแสดงที่เป็นเรื่องราว รวมถึงการแสดงใบ้
“ศิลปกรรม” หมายถึง งานลักษณะต่าง ๆ ดังนี้
(1) จิตรกรรม – งานรูปทรงเส้น แสง สี บนวัสดุใด ๆ
(2) ประติมากรรม – งานรูปทรงที่มีปริมาตรสัมผัสได้
(3) ภาพพิมพ์ – งานภาพด้วยวิธีพิมพ์ รวมแม่พิมพ์หรือแบบพิมพ์
(4) สถาปัตยกรรม – งานออกแบบอาคาร สิ่งปลูกสร้าง หรือตกแต่ง
(5) ภาพถ่าย – งานภาพจากการบันทึกด้วยกล้องหรือวิธีอื่นใด
(6) ภาพประกอบ แผนที่ โครงสร้าง ภาพร่าง หรือรูปสามมิติทางภูมิศาสตร์ ภูมิประเทศ วิทยาศาสตร์
(7) ศิลปประยุกต์ – งานจาก (1)-(6) ที่นำไปใช้ประโยชน์อย่างอื่น เช่น ใช้สอย ตกแต่ง หรือเพื่อการค้าไม่ว่างาน (1)-(7) จะมีคุณค่าทางศิลปะหรือไม่ และรวมภาพถ่ายและแผนผังของงานด้วย
“ดนตรีกรรม” หมายถึง งานเพลงเพื่อบรรเลงหรือขับร้อง จะมีทำนองและคำร้องหรือเฉพาะทำนอง รวมโน้ตเพลงและแผนภูมิเพลง
“โสตทัศนวัสดุ” หมายถึง งานที่มีลำดับภาพบันทึกในวัสดุซึ่งนำมาเล่นซ้ำได้ด้วยเครื่องมือ รวมเสียงประกอบถ้ามี
“ภาพยนตร์” หมายถึง โสตทัศนวัสดุที่มีภาพต่อเนื่องฉายได้เหมือนภาพยนตร์ รวมเสียงประกอบถ้ามี
“สิ่งบันทึกเสียง” หมายถึง งานบันทึกลำดับเสียงดนตรี การแสดง หรือเสียงอื่นใดที่เล่นซ้ำได้ด้วยเครื่องมือ ยกเว้นเสียงประกอบภาพยนตร์หรือโสตทัศนวัสดุอื่น
“งานแพร่เสียงแพร่ภาพ” หมายถึง งานที่เผยแพร่ต่อสาธารณชนทางวิทยุ วิทยุโทรทัศน์ หรือวิธีคล้ายกัน
“ทำซ้ำ” หมายถึง การคัดลอก เลียนแบบ ทำสำเนา บันทึกเสียง ภาพ หรือเสียงและภาพจากต้นฉบับ สำเนา หรือจากการโฆษณาในส่วนสำคัญ ไม่ว่าทั้งหมดหรือบางส่วน สำหรับโปรแกรมคอมพิวเตอร์ หมายถึงคัดลอกหรือทำสำเนาในส่วนสำคัญ โดยไม่ใช่งานใหม่
“ดัดแปลง” หมายถึง ทำซ้ำโดยเปลี่ยนรูปใหม่ ปรับปรุง แก้ไข เพิ่มเติม หรือจำลองงานต้นฉบับในส่วนสำคัญ โดยไม่ใช่งานใหม่ ไม่ว่าทั้งหมดหรือบางส่วน ได้แก่
(1) วรรณกรรม – แปล เปลี่ยนรูป หรือรวบรวมใหม่
(2) โปรแกรมคอมพิวเตอร์ – ปรับปรุง แก้ไขในส่วนสำคัญโดยไม่ใช่สร้างงานใหม่
(3) นาฏกรรม – เปลี่ยนงานอื่นเป็นนาฏกรรมหรือกลับกัน
(4) ศิลปกรรม – เปลี่ยนงาน 2 มิติ <-> 3 มิติ หรือทำหุ่นจำลอง
(5) ดนตรีกรรม – เรียบเรียงเสียงประสาน เปลี่ยนคำร้องหรือทำนอง
“เผยแพร่ต่อสาธารณชน” หมายถึง การทำให้งานปรากฏต่อสาธารณชน เช่น การแสดง บรรยาย สวด บรรเลง ทำให้ปรากฏด้วยเสียงหรือภาพ ก่อสร้าง จำหน่าย หรือวิธีอื่นใด"
มาตรา 6 พ.ร.บ. ลิขสิทธิ์,"งานที่มีลิขสิทธิ์ ได้แก่ งานสร้างสรรค์ประเภทวรรณกรรม นาฏกรรม ศิลปกรรม ดนตรีกรรม โสตทัศนวัสดุ ภาพยนตร์ สิ่งบันทึกเสียง งานแพร่เสียงแพร่ภาพ หรืองานอื่นในแผนกวรรณคดี วิทยาศาสตร์ หรือศิลปะ ไม่ว่างานนั้นจะแสดงออกด้วยวิธีหรือรูปแบบใด
การคุ้มครองลิขสิทธิ์ไม่ครอบคลุมถึง ความคิด ขั้นตอน กรรมวิธี ระบบ วิธีใช้หรือทำงาน แนวความคิด หลักการ การค้นพบ หรือทฤษฎีทางวิทยาศาสตร์หรือคณิตศาสตร์"
มาตรา 7 พ.ร.บ. ลิขสิทธิ์,"สิ่งที่ไม่ถือว่าเป็นงานมีลิขสิทธิ์ ได้แก่
(1) ข่าวประจำวัน และข้อเท็จจริงที่เป็นเพียงข่าวสาร มิใช่งานวรรณคดี วิทยาศาสตร์ หรือศิลปะ
(2) รัฐธรรมนูญ และกฎหมาย
(3) ระเบียบ ข้อบังคับ ประกาศ คำสั่ง คำชี้แจง และหนังสือโต้ตอบของหน่วยงานรัฐหรือท้องถิ่น
(4) คำพิพากษา คำสั่ง คำวินิจฉัย และรายงานของทางราชการ
(5) คำแปลและการรวบรวมสิ่งตาม (1)-(4) ที่หน่วยงานรัฐหรือท้องถิ่นจัดทำขึ้น"
มาตรา 8 พ.ร.บ. ลิขสิทธิ์,"ผู้สร้างสรรค์เป็นผู้มีลิขสิทธิ์ในงานที่ตนสร้างขึ้น ภายใต้เงื่อนไขดังนี้
(1) หากยังไม่โฆษณางาน ผู้สร้างสรรค์ต้องมีสัญชาติไทย หรืออยู่ในราชอาณาจักร หรือเป็นผู้มีสัญชาติหรืออยู่ในประเทศภาคีอนุสัญญาคุ้มครองลิขสิทธิ์ที่ไทยเข้าร่วม ตลอดเวลาหรือเป็นส่วนใหญ่ของการสร้างงาน
(2) หากมีการโฆษณางานแล้ว ต้องโฆษณาครั้งแรกในราชอาณาจักรหรือประเทศภาคีอนุสัญญาคุ้มครองลิขสิทธิ์ หากโฆษณาครั้งแรกในประเทศที่ไม่ใช่ภาคี ต้องมีการโฆษณาในราชอาณาจักรหรือประเทศภาคีภายใน 30 วันนับแต่โฆษณาครั้งแรก หรือผู้สร้างสรรค์ต้องมีคุณสมบัติตาม (1) ในขณะนั้น
กรณีผู้สร้างสรรค์ต้องเป็นสัญชาติไทย ถ้าเป็นนิติบุคคล ต้องเป็นนิติบุคคลที่จัดตั้งตามกฎหมายไทย"
มาตรา 9 พ.ร.บ. ลิขสิทธิ์,งานที่สร้างขึ้นในฐานะพนักงานหรือลูกจ้าง หากไม่มีข้อตกลงเป็นอย่างอื่น ลิขสิทธิ์เป็นของผู้สร้างสรรค์ แต่นายจ้างมีสิทธินำงานนั้นเผยแพร่ต่อสาธารณชนได้ ตามวัตถุประสงค์ของการจ้างงาน
มาตรา 10 พ.ร.บ. ลิขสิทธิ์,งานที่สร้างขึ้นโดยการรับจ้าง ให้ผู้ว่าจ้างเป็นเจ้าของลิขสิทธิ์ เว้นแต่จะตกลงไว้เป็นอย่างอื่น
มาตรา 11 พ.ร.บ. ลิขสิทธิ์,งานดัดแปลงที่ทำโดยได้รับอนุญาตจากเจ้าของลิขสิทธิ์ ผู้ดัดแปลงมีลิขสิทธิ์ในงานดัดแปลงนั้น แต่ไม่กระทบสิทธิของเจ้าของลิขสิทธิ์เดิม
มาตรา 14 พ.ร.บ. ลิขสิทธิ์,กระทรวง ทบวง กรม หรือหน่วยงานของรัฐหรือท้องถิ่น มีลิขสิทธิ์ในงานที่สร้างขึ้นโดยการจ้าง ตามคำสั่ง หรือภายใต้การควบคุมของตน เว้นแต่มีข้อตกลงเป็นอย่างอื่นเป็นลายลักษณ์อักษร
มาตรา 15 พ.ร.บ. ลิขสิทธิ์,"ภายใต้มาตรา 9 มาตรา 10 และมาตรา 14 เจ้าของลิขสิทธิ์มีสิทธิแต่เพียงผู้เดียวดังนี้
(1) ทำซ้ำหรือดัดแปลง
(2) เผยแพร่ต่อสาธารณชน
(3) ให้เช่าต้นฉบับหรือสำเนาของโปรแกรมคอมพิวเตอร์ โสตทัศนวัสดุ ภาพยนตร์ และสิ่งบันทึกเสียง
(4) ให้ประโยชน์จากลิขสิทธิ์แก่ผู้อื่น
(5) อนุญาตให้ผู้อื่นใช้สิทธิตาม (1) (2) หรือ (3) โดยกำหนดเงื่อนไขได้ แต่ห้ามกำหนดเงื่อนไขที่เป็นการจำกัดการแข่งขันโดยไม่เป็นธรรม
การพิจารณาว่าเงื่อนไขใน (5) เป็นการจำกัดการแข่งขันโดยไม่เป็นธรรมหรือไม่ ให้เป็นไปตามกฎกระทรวง"
