เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 149 นิติกรรม,การใดๆที่ทำโดยชอบ+ด้วยใจสมัคร+มุ่งผูกนิติสัมพันธ์ เพื่อก่อ เปลี่ยนแปลง โอน สงวน ระงับสิทธิ
มาตรา 150,การใดมีวัตถุประสงค์ต้องห้ามตามกมาตรา /พ้นวิสัย/ขัดต่อความสงบ ศีลธรรม โมฆะ
มาตรา 151 แตกต่าง,ทำแตกต่างจากกมาตรา แต่ไม่ใช่กมาตรา เกี่ยวกับความสงบฯไม่เป็น โมฆะ
มาตรา 152 แบบ,ทำไม่ถูกต้องตามแบบของกมาตรา โมฆะ
มาตรา 153 ความสามารถ,ทำขัดเรื่องความสามารถของบุคคล โมฆียะ
มาตรา 154 เจตนาซ่อนเร้น,เจตนาซ่อนเร้นยังไม่โมฆะ เว้นแต่อีกฝ่ายจะได้รู้
มาตรา 155 เจตนาลวง นิติกรรมอำพราง,"การแสดงเจตนาลวงโดยสมรู้กับคู่กรณีอีกฝ่าย โมฆะ ยกข้อต่อสู้คน นอกสุจริต+เสียค่าตอบแทนไม่ได้
ว.2 นิติกรรมที่ทำขึ้นอำพรางอีกนิติกรรม(อันแรกโมฆะ) ให้บังคับ ตามกมาตรา แห่งนิติกรรมที่ถูกอำพราง (ระวังแบบ+โมฆะ)"
มาตรา 156 สำคัญผิดในสาระสำคัญ,"การสำคัญผิดในสาระสำคัญของนิติกรรม โมฆะ
ว2. สำคัญผิดในสาระสำคัญ คือ ลักษณะ บุคคล ทรัพย์สิน"
มาตรา 157 สำคัญผิดในคุณสมบัติ,"สำคัญผิดในคุณสมบัติของบุคคลหรือทรัพย์สิน โมฆียะ
ว.2 ความสำคัญผิดนั้น หากไม่มีการสำคัญผิดนั้นก็คงจะมิได้กระทำขึ้น"
มาตรา 158,ความสำคัญผิดที่เกิดโดยประมาทเลินเล่ออย่างร้ายแรงจะถือเอา ความสำคัญผิดนั้นเป็นประโยชน์แก่ตนไม่ได้
มาตรา 159 กลฉ้อฉล,"การแสดงเจตนาเพราะถูกกลฉ้อฉล โมฆียะ
ว.2 กลฉ้อฉลต้องถึงขนาดซึ่งถ้าไม่มีกลฉ้อฉลดังกล่าว ก็คงจะไม่ได้ทำขึ้น
ว.3 คนฉ้อฉลโดยคนนอก โมฆียะ หากคู่กรณีอีกฝ่ายรู้/ควรรู้"
มาตรา 160 คุ้มครองคนนอก,การบอกล้างกลฉ้อฉล ห้ามมิให้ยกขึ้นบุคคลภายนอกผู้ทำการโดย สุจริต (ผู้รับโอน)
มาตรา 161 กลฉ้อเพื่อเหตุ,กลฉ้อเพื่อเหตุ จะบอกล้างไม่ได้ แต่ชอบที่จะเรียกค่าสินไหมเพื่อ ความ เสียหาย นั้นได้
